file,T_PM_MAE,T_PM_MSE,T_PM_COV,c_MAE,c_MSE,c_COV,d10_MAE,d10_MSE,d10_COV,d50_MAE,d50_MSE,d50_COV,d90_MAE,d90_MSE,d90_COV,T_TM_MAE,T_TM_MSE,T_TM_COV,T_PM_MAE_closed,T_PM_MSE_closed,T_PM_COV_closed,c_MAE_closed,c_MSE_closed,c_COV_closed,d10_MAE_closed,d10_MSE_closed,d10_COV_closed,d50_MAE_closed,d50_MSE_closed,d50_COV_closed,d90_MAE_closed,d90_MSE_closed,d90_COV_closed,T_TM_MAE_closed,T_TM_MSE_closed,T_TM_COV_closed
file_16361,0.160148039348938,0.052945353710194966,99.69666329625885,0.00033016964936412855,2.4835779205965533e-07,97.77553083923155,0.00014104253697035465,4.003343493486892e-06,97.77553083923155,5.226762902482001e-05,3.8470376431727936e-08,93.12436804853387,5.516401414190054e-05,2.3671921079611134e-08,83.82204246713853,0.1674793654039894,0.051952084576535607,99.69666329625885,0.27603810941914403,0.2102516891753488,100.0,0.0005665705380384637,8.14107049559796e-07,97.7710233029382,0.00014034184211045685,4.012134406226167e-06,97.7710233029382,4.941606586818929e-05,3.081902039705451e-08,93.11043566362716,5.375196295772659e-05,2.2872795846364152e-08,83.48530901722391,0.2870594116774797,0.22425917209982577,99.89868287740629
file_20726,0.1631994142420729,0.06154127093154061,99.69666329625885,0.0004343627381930792,5.013941669982434e-07,95.75328614762387,0.00015965408692045465,4.510638705497997e-06,97.67441860465115,8.483161589911898e-05,1.6597660882739328e-06,86.75429726996967,8.902510534462344e-05,4.824618739191229e-07,83.3164812942366,0.19376036452800072,0.08818936547941143,99.89888776541962,0.31954854769343083,0.31877893456952017,99.69604863221885,0.0006886222863188366,1.5131578757989784e-06,95.84599797365755,0.00015939572551598803,4.519480713573156e-06,97.36575481256332,8.329871649187512e-05,1.658712552919213e-06,86.52482269503547,8.767962464488844e-05,4.806903156979339e-07,83.18135764944276,0.35200248181271443,0.3857820117679699,99.29078014184397
file_22636,0.18334891507015333,0.0604712036234102,100.0,0.00041793141792248933,5.043373181474088e-07,99.69666329625885,0.00013832248349431755,2.4703830955640964e-08,75.12639029322547,0.00021041997365535626,4.8529667929221555e-08,66.43073811931244,0.00026278349836739715,7.660347236190983e-08,60.97067745197169,0.1424761462830191,0.04469818353357148,100.0,0.2989303279137941,0.23878360344374172,99.79736575481256,0.000656178757326078,1.1761659499183913e-06,99.79736575481256,0.0001396745637787565,2.4994265238195902e-08,74.77203647416414,0.00021251092284305738,4.93021112910302e-08,65.34954407294833,0.0002637970618425837,7.686629744092352e-08,59.37183383991894,0.25849719542890254,0.217091057579251,99.59473150962512
file_3388,0.14801735664738386,0.042424844157024764,99.3933265925177,0.00021944714373000294,1.1625052119391519e-07,96.05662285136502,0.00015275773459512868,4.66480858955706e-06,98.38220424671385,0.0001928683316730931,6.645334047942837e-06,83.21536905965623,0.00011710185965891602,1.3252040048052043e-06,76.74418604651163,0.15223601783763654,0.05155828963470833,99.3933265925177,0.24392156882923624,0.16558565026417166,99.59473150962512,0.0003104031915586975,2.846240867974346e-07,96.25126646403243,0.0001531057266720847,4.674252274492073e-06,98.27760891590678,0.00019280994625792754,6.6588120319729925e-06,83.28267477203647,0.00011751763762247661,1.3275788992344655e-06,76.7983789260385,0.2482487159075172,0.17639560431841067,99.49341438703141
file_34890,0.12125424897621528,0.04696303168330477,100.0,0.0002837328096557814,1.8534122043615253e-07,97.4721941354904,6.0498116935319686e-05,1.6620378375527223e-07,95.55106167846309,0.00010279139980736903,2.256028483877397e-06,91.0010111223458,0.00014775727264692987,3.5812907420015225e-06,88.27098078867543,0.13576746370086587,0.0532425205187204,99.89888776541962,0.21591563181555468,0.15683318684861008,99.89868287740629,0.0004989505275124217,6.7955703213773e-07,97.46707193515705,6.0601339054618086e-05,1.66450808109773e-07,95.94731509625126,0.0001039699493688267,2.2606073602193e-06,90.98277608915907,0.00014687769605037444,3.5884865882659638e-06,88.14589665653494,0.23253356697263142,0.1739961941116246,99.89868287740629
file_39455,0.14044278569241248,0.05102100147409279,99.69666329625885,0.0002790525659940489,1.9767754028367523e-07,97.06774519716885,0.0001193730977108981,2.7411177644947858e-06,98.38220424671385,0.0001577407152929934,4.109279281873507e-06,94.94438827098078,0.00013346798669046015,1.6166587210561468e-06,91.70879676440849,0.10307165077281616,0.032883811879134896,99.69666329625885,0.21349990368051763,0.12523610271972732,99.89868287740629,0.00040085574672525914,3.4305119247945064e-07,97.06180344478217,0.00011751085585176183,2.745766866331664e-06,98.27760891590678,0.00015574913993627736,4.109831987236464e-06,95.23809523809523,0.00013240688972372558,1.6186659679415512e-06,91.69199594731509,0.18218895515630346,0.1218807994809017,99.89868287740629
file_41551,0.18625721821343072,0.056575407772912874,100.0,0.0002401762468946475,1.3431163174482347e-07,100.0,6.708907958193019e-05,5.744556253834834e-09,98.48331648129424,0.0001183277440630647,1.7236412015342548e-08,86.5520728008089,0.00016334310268874473,3.247691693256082e-08,92.21435793731041,0.20806451230406112,0.06240192359157798,100.0,0.30536464745431213,0.21108063538253627,100.0,0.0004145586450233014,5.085962371765343e-07,100.0,7.917231854358691e-05,8.067037158644668e-09,98.37892603850051,0.00013646799111290982,2.1979896644111328e-08,82.77608915906788,0.0001898597924284617,4.1984552528344515e-08,91.7933130699088,0.33250405327004406,0.2313179435382432,100.0
file_49595,0.16345342666401544,0.05773791458979006,99.69666329625885,0.0002554624618403716,2.0832735522780602e-07,95.24772497472193,0.00016254564832987231,4.976386083251465e-06,96.66329625884732,5.231447411228212e-05,3.442745973632859e-08,91.20323559150657,0.00013465090349296723,2.645141616524852e-06,88.4732052578362,0.18000975362604882,0.06973535046230996,99.79777553083923,0.24737764840796425,0.1531346854096006,99.89868287740629,0.00039346282611450457,4.3451453246873037e-07,95.13677811550151,0.0001623593707285659,4.986484405431714e-06,96.65653495440729,4.9504876166269615e-05,2.7876143375266403e-08,91.08409321175279,0.0001306982921545768,2.6210292795947713e-06,88.55116514690982,0.2622041199270735,0.17448374507663772,100.0
file_5325,0.12057907361396539,0.05182506656055999,99.29221435793731,0.00016100590163511423,6.606313689351612e-08,95.65217391304348,7.000777335384325e-05,8.43692192104938e-07,97.77553083923155,0.0001364938270505553,4.308220432586701e-06,93.42770475227502,0.00015950132870554766,3.530766138541806e-06,92.61880687563195,0.13177065256504042,0.05681776017156092,99.69666329625885,0.19031416432268797,0.12269897818390464,99.69604863221885,0.00021968664559473584,1.1448907426423392e-07,95.6433637284701,7.151707455693398e-05,8.455326942438733e-07,97.7710233029382,0.00013787237705101846,4.317050795547306e-06,93.51570415400202,0.0001611858465653684,3.5369584719878276e-06,92.50253292806484,0.19417036326841833,0.12724555070021812,99.79736575481256
file_54889,0.13984346363829334,0.03806019138434194,99.79777553083923,0.0002486184493679071,1.1900172652657883e-07,97.97775530839232,6.149555952649021e-05,1.8215919833437913e-08,94.64105156723963,0.00011811165258418972,2.1350220887730967e-06,86.34984833164813,0.00010098735134061368,1.5174410305839602e-06,86.45096056622852,0.17065587503427332,0.05530209138985724,99.89888776541962,0.2505739899307384,0.14820425184557742,100.0,0.0004163204590835159,3.470210466260614e-07,97.97365754812563,6.341895894045743e-05,1.854551222224355e-08,94.52887537993921,0.00011747991271605722,2.1339805316055854e-06,86.42350557244174,0.00010310415026777296,1.5150721854341094e-06,86.42350557244174,0.29016782327043633,0.1834225860486059,99.79736575481256
